,RVP_LAB,S.B5.213TI2804,S.B5.213PI2806,S.B5.213FC2602
2015-03-30,38.2,131.3478034,302.858746,88.27564536
2015-03-31,35.3,132.5147278,303.4748951,89.24002167
2015-04-01,38.9,133.6280795,296.8558208,85.57433733
2015-04-02,35.9,130.4868807,293.4124689,93.44522453
2015-04-03,38.4,131.686639,313.886962,90.85249907
2015-04-04,34.8,130.9614248,302.0674198,93.20955182
2015-04-05,34.1,131.5166629,304.5226643,90.50378595
2015-04-06,37.6,130.7478603,317.6978984,90.13556935
2015-04-07,36.5,131.4293064,309.3874378,89.85232931
2015-04-08,37,131.0926304,307.1075622,87.33472865
2015-04-09,38.4,130.5407741,303.1093402,91.46302961
2015-04-10,38.8,130.7521464,302.2708064,91.54068743
2015-04-11,37.7,131.271765,300.9931286,90.11801633
2015-04-12,39.1,131.0559361,302.3453275,90.42587637
2015-04-13,35.8,130.4457367,302.225497,91.8804652
2015-04-14,37.8,131.7755599,305.6779207,88.63748317
2015-04-15,37.3,132.2362344,310.1138533,87.68153133
2015-04-16,37.7,132.1348,310.6374226,88.14249283
2015-04-17,38.2,131.3080142,312.6791868,89.98054739
2015-04-18,35.6,131.5522047,310.6282853,88.25493756
2015-04-19,38.7,131.0257753,311.408626,88.8071811
2015-04-20,35.6,131.5741711,294.8285221,90.1423483
2015-04-21,36,132.3677125,301.020402,86.28860667
2015-04-22,36.4,130.3378041,301.4846353,93.21647095
2015-04-23,36.4,131.0067704,315.5172603,88.13265679
2015-04-24,37.1,130.4579196,305.4377019,91.68177262
2015-04-25,37.2,131.2829421,306.4815618,86.92844268
2015-04-26,36.4,131.1855856,303.8795035,90.25669049
2015-04-27,41.2,130.3497042,317.3030101,91.22871843
2015-04-28,38.5,132.4479067,304.9660271,83.39037485
2015-04-29,36.8,132.4292691,301.5492176,85.53513179
2015-04-30,36.6,130.7022139,303.849041,87.99018845
2015-05-01,38.8,131.2784096,302.9473971,89.81864385
2015-05-02,39.4,131.3361651,310.1927828,88.83183914
2015-05-03,36.2,131.2248465,309.4592892,91.49350714
2015-05-04,36.7,129.9620409,315.0183714,88.47255962
2015-05-05,36.1,131.9963042,299.3000897,85.95320859
2015-05-06,34.8,131.3257889,314.1667441,85.4216489
2015-05-07,36.8,130.7722306,315.4424627,87.78723944
2015-05-08,36.2,130.7328978,315.4225373,87.8507771
2015-05-09,33.9,130.3019802,321.1997146,90.24353927
2015-05-10,36.8,131.1081764,301.5659225,87.69634353
2015-05-11,40.1,131.1252251,304.8763893,90.55971893
2015-05-12,38.8,129.6930533,301.3834989,91.50996892
2015-05-13,38.1,131.126709,306.2936435,90.37789537
2015-05-14,38.7,131.7005352,313.5845871,89.16859364
2015-05-15,36.8,131.9429865,310.4704777,90.68140335
2015-05-16,37.7,131.9147708,303.7991907,87.61927709
2015-05-17,36.8,131.6933709,309.4821839,89.84879116
2015-05-18,38.3,131.3695301,302.5024947,89.64938601
2015-05-19,39.5,131.2652113,308.5329981,89.22575961
2015-05-20,39.3,129.7269891,303.608237,94.41258942
2015-05-21,38.3,128.4793342,297.4377966,93.99692726
2015-05-22,38.6,129.6727906,327.1669522,93.52860825
2015-05-23,39.7,129.4736253,339.6432419,89.3268891
2015-05-24,35.3,130.854726,325.7328102,88.36390586
2015-05-25,38.9,129.4668573,326.6751721,88.89448274
2015-05-26,39.1,131.3807015,321.9708072,88.89690815
2015-05-27,43,131.0209948,347.5435205,90.19379263
2015-05-27,41.6,131.0209948,347.5435205,90.19379263
2015-05-28,34.4,132.8708841,319.0645687,83.165138
2015-05-29,39.5,133.182544,325.5776745,82.88500702
2015-05-30,39.5,133.3795502,332.8675229,86.09309321
2015-05-31,37.9,131.3000553,308.7608191,89.03333813
2015-06-01,38.8,130.7194238,309.6758608,92.27705339
2015-06-02,39,131.4925199,333.7179794,91.92741843
2015-06-03,44.6,130.4024122,338.4074004,89.8275586
2015-06-04,39.6,130.956509,308.4329588,87.39561753
2015-06-05,41,131.4560903,331.5269931,85.43621504
2015-06-06,37.6,130.8463755,303.2413456,88.98192291
2015-06-07,37.2,129.9891582,321.0771729,90.56088654
2015-06-08,37.2,132.0553478,327.2452083,91.33216831
2015-06-09,36.3,130.6915572,327.3491024,92.39597657
2015-06-10,38.6,131.3653427,323.5464593,89.98321836
2015-06-11,41.4,128.9483172,325.3886885,97.09092568
2015-06-12,42.5,129.9434211,336.126124,93.68875272
2015-06-13,40.7,128.6165087,328.0417268,96.65158122
2015-06-14,39.2,129.0082585,310.2443296,92.53074984
2015-06-15,41.3,128.0837749,311.4864089,96.08608325
2015-06-16,40.7,129.2210215,317.4223517,92.49957903
2015-06-17,41.3,128.5210433,329.0779022,94.35296361
2015-06-18,42.9,129.6227627,327.3521553,90.34401362
2015-06-19,41.9,129.0179739,317.3455004,95.06870954
2015-06-20,39.6,128.7118574,307.5059011,94.37409173
2015-06-21,39.4,128.7497357,314.3785356,94.53405716
2015-06-22,40.3,127.7700569,309.1184872,95.5323907
2015-06-23,37.1,127.6984442,317.5681358,96.59499466
2015-06-24,39.5,129.1045812,329.9010539,94.06602244
2015-06-25,39.4,127.9328579,314.7067447,95.7267623
2015-06-26,39,128.4693368,310.9829163,96.4735895
2015-06-27,43.9,126.9525657,319.2162662,100.5340478
2015-06-28,44.1,126.4738866,308.1868557,97.37602282
2015-06-29,42,127.5825145,305.2743942,94.41599953
2015-06-30,41.4,129.1106159,324.2440105,92.51160704
2015-07-01,42.2,128.5214862,314.1194119,93.80820522
2015-07-02,44.6,128.2400863,341.8964972,93.8774221
2015-07-03,43.8,129.6630021,323.5689599,90.55831068
2015-07-04,41.2,128.8337742,312.8677214,92.48702877
